epoch,alpha,lr,objective,val_auc,val_ap,linear_norm,cubic_norm,cubic_to_linear_ratio,linear_cubic_cosine,net_norm,net_to_linear_ratio,z_norm,w_norm,dataset,fold,split_seed,init_seed,embedding_dim,run_seconds,best_val_auc_in_split,useful_auc_threshold
500,0.000327275821516858,600.0,3.9987107716316395,0.8092642657838047,0.8393059934386374,462.32228756091064,381.39526598437857,0.8249553963675826,0.9629151764452446,140.0975861074223,0.30303013693443137,16.09837849183237,18.319957330506664,cora,0,10000,110000,16,2.2295600729994476,0.8101317064002661,0.8020303893362635
510,0.000327275821516858,600.0,3.998676459352619,0.8095823273431739,0.8397629028038477,470.1455060547103,392.3780449688932,0.8345885261386133,0.9655147473058814,137.00765100361784,0.29141542190488234,16.393797642216548,18.64593852316824,cora,0,10000,110000,16,2.2295600729994476,0.8101317064002661,0.8020303893362635
520,0.000327275821516858,600.0,3.9986436766641957,0.8096112420303894,0.8398266729276161,477.60467771065476,402.94406878140353,0.8436769729996603,0.9679379815358524,133.84598386119748,0.28024429011619695,16.677012527843306,18.960174809708274,cora,0,10000,110000,16,2.2295600729994476,0.8101317064002661,0.8020303893362635
530,0.000327275821516858,600.0,3.998612418224392,0.8097269007792509,0.8399890111262348,484.71442253310374,413.11177990109354,0.8522787041123785,0.9701913756485684,130.63219399729942,0.26950341876484574,16.947975145217622,19.262551470389262,cora,0,10000,110000,16,2.2295600729994476,0.8101317064002661,0.8020303893362635
540,0.000327275821516858,600.0,3.998582667409721,0.8101027917130507,0.840163783642401,491.4884906148791,422.89639105063225,0.8604400695559842,0.9722817580425763,127.38633259347785,0.2591847724330443,17.20669279420901,19.55301631935832,cora,0,10000,110000,16,2.2295600729994476,0.8101317064002661,0.8020303893362635
550,0.000327275821516858,600.0,3.9985543970924295,0.8098425595281123,0.8399324586385462,497.93990697659564,432.3102039335035,0.8681975432706643,0.9742163187272024,124.12848414883035,0.2492840650240646,17.453228434993253,19.83157916395058,cora,0,10000,110000,16,2.2295600729994476,0.8101317064002661,0.8020303893362635
560,0.000327275821516858,600.0,3.9985275706311665,0.8100594196822276,0.8403765857449675,504.08112188504816,441.36308205695275,0.8755794710312564,0.9760025735939599,120.87837541132951,0.23979944926184898,17.68770000324077,20.098310475100924,cora,0,10000,110000,16,2.2295600729994476,0.8101317064002661,0.8020303893362635
570,0.000327275821516858,600.0,3.9985021430230896,0.8101317064002661,0.8402390511665666,509.9241503861315,450.0629885959954,0.8826077138240909,0.9776482947267396,117.65501020740524,0.23073041376509223,17.910278653968216,20.353339165345,cora,0,10000,110000,16,2.2295600729994476,0.8101317064002661,0.8020303893362635
580,0.000327275821516858,600.0,3.9984780621669938,0.8095534126559586,0.8397079476946229,515.4806913506402,458.41652426352977,0.8892991181927816,0.9791614312860103,114.47632757962207,0.22207684885281764,18.12118600440324,20.596849479040756,cora,0,10000,110000,16,2.2295600729994476,0.8101317064002661,0.8020303893362635
590,0.000327275821516858,600.0,3.9984552701919727,0.808570313290636,0.8392418702505569,520.7622213714459,466.4294246885242,0.895666785236774,0.9805500337010054,111.35888222510803,0.2138382502706138,18.32069050197352,20.82907706796853,cora,0,10000,110000,16,2.2295600729994476,0.8101317064002661,0.8020303893362635
